rank,company,score,percent,ticker,rrf
1,Clorox,100,1.98019802,CLX,0.01639344262295082
2,Prudential Financial,99,1.96039604,PRU,0.016129032258064516
3,Constellation Energy,96,1.900990099,CEG,0.015873015873015872
4,Lam Research,94,1.861386139,LRCX,0.015625
5,MetLife,93,1.841584158,MET,0.015384615384615385
6,S&P Global,92,1.821782178,SPGI,0.015151515151515152
7,CBRE Group,90,1.782178218,CBRE,0.014925373134328358
8,Exelon,88,1.742574257,EXC,0.014705882352941176
9,Deckers Brands,86,1.702970297,DECK,0.014492753623188406
10,Kimberly-Clark,84,1.663366337,KMB,0.014285714285714285
11,Applied Materials,83,1.643564356,AMAT,0.014084507042253521
12,Analog Devices,82,1.623762376,ADI,0.013888888888888888
13,Procter & Gamble,80,1.584158416,PG,0.0136986301369863
14,Republic Services,79,1.564356436,RSG,0.013513513513513514
15,Avery Dennison,78,1.544554455,AVY,0.013333333333333334
16,Eversource Energy,77,1.524752475,ES,0.013157894736842105
17,Agilent Technologies,76,1.504950495,A,0.012987012987012988
18,Ecolab,74,1.465346535,ECL,0.01282051282051282
19,Public Service Enterprise Group,72,1.425742574,PEG,0.012658227848101266
20,Nucor,71,1.405940594,NUE,0.0125
21,Cummins,70,1.386138614,CMI,0.012345679012345678
22,International Flavors & Fragrances,66,1.306930693,IFF,0.012195121951219513
23,ON Semiconductor,64,1.267326733,ON,0.012048192771084338
24,Lennox International,63,1.247524752,LII,0.011904761904761904
25,Teradyne,59,1.168316832,TER,0.011764705882352941
26,Booking Holdings,57,1.128712871,BKNG,0.011627906976744186
27,Kroger,56,1.108910891,KR,0.011494252873563218
28,Keysight Technologies,55,1.089108911,KEYS,0.011363636363636364
29,Rockwell Automation,52,1.02970297,ROK,0.011235955056179775
30,Hormel Foods,50,0.9900990099,HRL,0.011111111111111112
31,Automatic Data Processing,49,0.9702970297,ADP,0.01098901098901099
32,Baker Hughes,45,0.8910891089,BKR,0.010869565217391304
33,Skyworks Solutions,44,0.8712871287,SWKS,0.010752688172043012
34,Texas Instruments,42,0.8316831683,TXN,0.010638297872340425
35,Principal Financial Group,40,0.7920792079,PFG,0.010526315789473684
36,PPG Industries,39,0.7722772277,PPG,0.010416666666666666
37,Waste Management,36,0.7128712871,WM,0.010309278350515464
38,Verisk Analytics,35,0.6930693069,VRSK,0.01020408163265306
39,KLA Corporation,34,0.6732673267,KLAC,0.010101010101010102
40,W. W. Grainger,32,0.6336633663,GWW,0.01
41,Cisco,31,0.6138613861,CSCO,0.009900990099009901
42,Hewlett Packard Enterprise,30,0.5940594059,HPE,0.00980392156862745
43,Nvidia,27,0.5346534653,NVDA,0.009708737864077669
44,First Solar,26,0.5148514851,FSLR,0.009615384615384616
45,Air Products,25,0.495049505,APD,0.009523809523809525
46,Estée Lauder Companies (The),24,0.4752475248,EL,0.009433962264150943
47,Stanley Black & Decker,23,0.4554455446,SWK,0.009345794392523364
48,General Mills,22,0.4356435644,GIS,0.009259259259259259
49,Intel,21,0.4158415842,INTC,0.009174311926605505
50,Consolidated Edison,18,0.3564356436,ED,0.00909090909090909
51,Carrier Global,17,0.3366336634,CARR,0.009009009009009009
52,Electronic Arts,16,0.3168316832,EA,0.008928571428571428
53,Campbell's Company (The),15,0.297029703,CPB,0.008849557522123894
54,Hologic,14,0.2772277228,HOLX,0.008771929824561403
55,Qualcomm,10,0.198019802,QCOM,0.008695652173913044
56,Best Buy,9,0.1782178218,BBY,0.008620689655172414
57,Ingersoll Rand,7,0.1386138614,IR,0.008547008547008548
58,Mastercard,5,0.09900990099,MA,0.00847457627118644
59,Keurig Dr Pepper,3,0.05940594059,KDP,0.008403361344537815
60,Synopsys,1,0.0198019802,SNPS,0.008333333333333333
